workload,sut_report,sut_label,task_id,success,tokens,precision,recall,f1,explore_chars,analyze_chars,overhead_chars,expand_calls,search_calls,summarize_calls,pof_type
archeology,complete_R1,complete_R1,archeology-hard-1,0,26790,1.0,1.0,1.0,1427,22005,807,5,7,0,different user QUERY interpretation
archeology,complete_R1,complete_R1,archeology-hard-2,0,28061,1.0,0.5,0.6666666666666666,2081,13544,1084,0,1,0,Incorrect PIPELINE implementation/code generation
archeology,complete_R1,complete_R1,archeology-easy-3,1,56784,1.0,1.0,1.0,3655,1374,904,0,0,0,
archeology,complete_R1,complete_R1,archeology-easy-4,1,16545,1.0,1.0,1.0,972,3708,1066,0,0,0,
archeology,complete_R1,complete_R1,archeology-hard-5,0,27471,1.0,1.0,1.0,811,28595,1100,0,0,0,different user QUERY interpretation
archeology,complete_R1,complete_R1,archeology-easy-6,1,35771,1.0,1.0,1.0,1197,3955,1072,0,0,0,
archeology,complete_R1,complete_R1,archeology-hard-7,0,14943,1.0,1.0,1.0,810,4840,546,0,0,0,Incorrect PIPELINE implementation/code generation
archeology,complete_R1,complete_R1,archeology-easy-8,0,65883,1.0,1.0,1.0,4440,15021,857,0,0,0,Incorrect PIPELINE implementation/code generation
archeology,complete_R1,complete_R1,archeology-hard-9,0,118814,1.0,1.0,1.0,11959,24694,1057,2,0,0,Incorrect PIPELINE implementation/code generation
archeology,complete_R1,complete_R1,archeology-easy-10,1,12789,1.0,1.0,1.0,564,2423,368,0,0,0,
archeology,complete_R1,complete_R1,archeology-easy-11,0,24518,1.0,1.0,1.0,3996,9298,770,2,0,0,Incorrect PIPELINE implementation/code generation
archeology,complete_R1,complete_R1,archeology-hard-12,0,66571,1.0,0.5,0.6666666666666666,5059,57830,864,0,0,0,different user QUERY interpretation
archeology,without_R1,without_R1,archeology-hard-1,0,24777,1.0,1.0,1.0,227,22039,836,0,1,0,different user QUERY interpretation
archeology,without_R1,without_R1,archeology-hard-2,0,19067,1.0,0.5,0.6666666666666666,69,11590,791,0,0,0,mismatch ANSWER type or format
archeology,without_R1,without_R1,archeology-easy-3,1,12937,1.0,1.0,1.0,404,4135,1013,0,0,0,
archeology,without_R1,without_R1,archeology-easy-4,1,21857,1.0,1.0,1.0,1402,4423,1265,0,0,0,
